,,,,,,,,,,,,FY 2015 3-YEAR COHORT DEFAULT RATES,,,
30359,NATIONAL AVIATION ACADEMY                                        ,6225 ULMERTON ROAD                                ,CLEARWATER          ,FL,FLORIDA                                                     ,33760,3931,11,Non-Degree 3 Plus Years (? 2700 hours),3,For-Profit,2015,12,405,2.9
30375,HODGES UNIVERSITY                                                ,2655 NORTHBROOKE DRIVE                            ,NAPLES              ,FL,FLORIDA                                                     ,34119,7932,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,155,1168,13.2
30399,FREMONT COLLEGE                                                  ,18000 STUDEBAKER ROAD              SUITE 900 A    ,CERRITOS            ,CA,CALIFORNIA                                                  ,90703,5342,8,Master's Degree or Doctor's Degree,3,For-Profit,2015,34,288,11.8
30425,CARRINGTON COLLEGE                                               ,"2004 LLOYD CENTER, 3RD FLOOR                      ",PORTLAND            ,OR,OREGON                                                      ,97232,1302,5,Associate's Degree,3,For-Profit,2015,78,564,13.8
30431,THOMAS MORE COLLEGE OF LIBERAL ARTS                              ,6 MANCHESTER STREET                               ,MERRIMACK           ,NH,NEW HAMPSHIRE                                               ,3054,4818,6,Bachelor's Degree,2,Nonprofit,2015,2,30,6.6
30432,BRIGHTWOOD COLLEGE                                               ,3535 WEST SAHARA AVENUE                           ,LAS VEGAS           ,NV,NEVADA                                                      ,89102,8618,5,Associate's Degree,3,For-Profit,2015,149,763,19.5
30439,NEWSCHOOL OF ARCHITECTURE AND DESIGN                             ,1249 F STREET                                     ,SAN DIEGO           ,CA,CALIFORNIA                                                  ,92101,6634,8,Master's Degree or Doctor's Degree,3,For-Profit,2015,16,216,7.4
30450,UNIVERSITY OF EAST LONDON                                        ,4 - 6 UNIVERSITY WAY                              ,LONDON              ,FC,ENGLAND             ,E16 2,RD  ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,2,52,3.8
30501,STUDIO ARTS COLLEGE INTERNATIONAL                                ,PALAZZO DEI CARTELLONI             VIA SANT'ANTONI,FLORENCE            ,FC,ITALY               ,50123,    ,8,Master's Degree or Doctor's Degree,6,Foreign Nonprofit,2015,1,32,3.1
30514,AUBURN CAREER CENTER                                             ,8140 AUBURN ROAD                                  ,CONCORD TOWNSHIP    ,OH,OHIO                                                        ,44077,9723,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,19,100,19
30519,ADLER GRADUATE SCHOOL                                            ,1550 E 78TH ST                                    ,RICHFIELD           ,MN,MINNESOTA                                                   ,55423,4638,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,2,121,1.6
30520,MEREDITH MANOR INTERNATIONAL EQUESTRIAN CENTRE                   ,147 SADDLE LANE                                   ,WAVERLY             ,WV,WEST VIRGINIA                                               ,26184,9707,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,8,78,10.2
30523,KENNETH SHULER SCHOOL OF COSMETOLOGY & HAIR DESIGN               ,1113 KNOX AVENUE                                  ,NORTH AUGUSTA       ,SC,SOUTH CAROLINA                                              ,29841,2013,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,10,201,4.9
30541,ROYALE COLLEGE OF BEAUTY AND BARBERING                           ,27485 COMMERCE CENTER DRIVE                       ,TEMECULA            ,CA,CALIFORNIA                                                  ,92590,2525,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,4,34,11.7
30611,GENESIS CAREER COLLEGE                                           ,1505 NOAH COURT                                   ,LEBANON             ,TN,TENNESSEE                                                   ,37087,2718,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,20,195,10.2
30612,MIDWEST COLLEGE OF ORIENTAL MEDICINE                             ,6232 BANKERS ROAD                                 ,RACINE              ,WI,WISCONSIN                                                   ,53403,9747,8,Master's Degree or Doctor's Degree,3,For-Profit,2015,4,58,6.8
30618,STAR COLLEGE OF COSMETOLOGY                                      ,520 EAST FRONT STREET                             ,TYLER               ,TX,TEXAS                                                       ,75702,8214,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,3,67,4.4
30627,PLATT COLLEGE                                                    ,1000 SOUTH FREMONT AVENUE          STE A9W        ,ALHAMBRA            ,CA,CALIFORNIA                                                  ,91803,9998,6,Bachelor's Degree,3,For-Profit,2015,42,840,5
30633,NORTHWEST ARKANSAS COMMUNITY COLLEGE                             ,ONE COLLEGE AVENUE                                ,BENTONVILLE         ,AR,ARKANSAS                                                    ,72712,5190,5,Associate's Degree,1,Public,2015,293,1839,15.9
30634,MODERN TECHNOLOGY SCHOOL                                         ,16560 HARBOR BOULEVARD             SUITE K        ,FOUNTAIN VALLEY     ,CA,CALIFORNIA                                                  ,92708,1336,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,11,117,9.4
30646,TEXAS SOUTHMOST COLLEGE                                          ,80 FORT BROWN                                     ,BROWNSVILLE         ,TX,TEXAS                                                       ,78520,4993,5,Associate's Degree,1,Public,2015,322,2814,11.4
30650,PAUL MITCHELL THE SCHOOL RICHLAND                                ,71 GAGE BOULEVARD                                 ,RICHLAND            ,WA,WASHINGTON                                                  ,99352,9700,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,4,78,5.1
30653,PAUL MITCHELL THE SCHOOL BRADLEY                                 ,1600 N STATE RT. 50 ROOM 522                      ,BOURBONNAIS         ,IL,ILLINOIS                                                    ,60914,9307,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,18,245,7.3
30663,BRYAN UNIVERSITY                                                 ,4255 NATURE CENTER WAY                            ,SPRINGFIELD         ,MO,MISSOURI                                                    ,65804,4921,8,Master's Degree or Doctor's Degree,3,For-Profit,2015,55,403,13.6
30665,SOUTHEASTERN TECHNICAL COLLEGE                                   ,3001 EAST FIRST STREET                            ,VIDALIA             ,GA,GEORGIA                                                     ,30474,8817,5,Associate's Degree,1,Public,2015,37,181,20.4
30669,INTELLITEC COLLEGE                                               ,772 HORIZON DRIVE                                 ,GRAND JUNCTION      ,CO,COLORADO                                                    ,81506,3994,5,Associate's Degree,3,For-Profit,2015,57,387,14.7
30672,UNIVERSITY OF SYDNEY                                             ,"VICE-CHANCELLOR OFFICE, A14        QUADRANGLE, CAM",THE UNIVERSITY OF SY,FC,AUSTRALIA           ,2006,    ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,4,75,5.3
30675,INSTITUTE OF TECHNOLOGY                                          ,564 WEST HERNDON                                  ,CLOVIS              ,CA,CALIFORNIA                                                  ,93612,3217,5,Associate's Degree,3,For-Profit,2015,271,1280,21.1
30676,RAPHAEL'S SCHOOL OF BEAUTY CULTURE                               ,615 BOARDMAN-CANFIELD ROAD                        ,BOARDMAN            ,OH,OHIO                                                        ,44512,2222,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,6,86,6.9
30682,OHIO MEDIA SCHOOL                                                ,"9885 ROCKSIDE ROAD, SUITE 160                     ",VALLEY VIEW         ,OH,OHIO                                                        ,44125,6273,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,102,382,26.7
30686,SPECIAL SCHOOL DISTRICT OF ST. LOUIS COUNTY                      ,ADULT EDUCATION                    12721 WEST WATS,SUNSET HILLS        ,MO,MISSOURI                                                    ,63127,1324,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,8,108,7.4
30691,ALLEN COLLEGE                                                    ,1825 LOGAN AVENUE                                 ,WATERLOO            ,IA,IOWA                                                        ,50703,1916,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,4,238,1.6
30709,SOUTHEAST MISSOURI HOSPITAL COLLEGE OF NURSING AND HEALTH SCIENCE,2001 WILLIAM STREET                               ,CAPE GIRARDEAU      ,MO,MISSOURI                                                    ,63703,4507,6,Bachelor's Degree,2,Nonprofit,2015,1,85,1.1
30716,COLLEGE OF BUSINESS & TECHNOLOGY                                 ,8700 WEST FLAGLER STREET SUITE 420                ,MIAMI               ,FL,FLORIDA                                                     ,33174,2407,6,Bachelor's Degree,3,For-Profit,2015,123,658,18.6
30719,MOUNT CARMEL COLLEGE OF NURSING                                  ,127 SOUTH DAVIS AVENUE                            ,COLUMBUS            ,OH,OHIO                                                        ,43222,1598,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,8,326,2.4
30722,CHANDLER - GILBERT COMMUNITY COLLEGE                             ,2626 EAST PECOS ROAD               PECOS CAMPUS   ,CHANDLER            ,AZ,ARIZONA                                                     ,85225,2499,5,Associate's Degree,1,Public,2015,240,1645,14.5
30726,DCI CAREER INSTITUTE                                             ,366 ROUTE 18                       BEAVER VALLEY M,MONACA              ,PA,PENNSYLVANIA                                                ,15061,2307,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,9,105,8.5
30738,UNIVERSITY OF DEBRECEN                                           ,EGYETEM TER 1.                                    ,DEBRECEN            ,FC,HUNGARY             ,H-403,2,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,1,13,7.6
30745,EAST WEST COLLEGE OF THE HEALING ARTS                            ,525 NE OREGON STREET                              ,PORTLAND            ,OR,OREGON                                                      ,97232,2765,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,10,156,6.4
30752,TWIN CITY BEAUTY COLLEGE                                         ,2600 LINCOLN AVENUE                               ,ST JOSEPH           ,MI,MICHIGAN                                                    ,49085,3305,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,9,146,6.1
30761,SOUTHWESTERN COLLEGE                                             ,3960  SAN FELIPE                                  ,SANTA FE            ,NM,NEW MEXICO                                                  ,87507,0,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,0,57,0
30763,BEULAH HEIGHTS UNIVERSITY                                        ,892 BERNE STREET SE                               ,ATLANTA             ,GA,GEORGIA                                                     ,30316,1873,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,36,277,12.9
30772,PAUL MITCHELL THE SCHOOL MISSOURI COLUMBIA                       ,1611 BURLINGTON STREET             SUITE A        ,COLUMBIA            ,MO,MISSOURI                                                    ,65202,6520,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,6,33,18.1
30780,MIAMI MEDIA SCHOOL                                               ,901 SOUTH MIAMI AVENUE             SUITE 303      ,MIAMI               ,FL,FLORIDA                                                     ,33130,3042,5,Associate's Degree,3,For-Profit,2015,18,132,13.6
30784,CAMEO BEAUTY ACADEMY                                             ,9714 SOUTH CICERO AVENUE                          ,OAK LAWN            ,IL,ILLINOIS                                                    ,60453,3196,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,5,79,6.3
30790,ETI TECHNICAL COLLEGE OF NILES                                   ,2076 YOUNGSTOWN-WARREN ROAD                       ,NILES               ,OH,OHIO                                                        ,44446,4398,5,Associate's Degree,3,For-Profit,2015,33,136,24.2
30791,NORTH CENTRAL INSTITUTE                                          ,168 JACK MILLER BOULEVARD                         ,CLARKSVILLE         ,TN,TENNESSEE                                                   ,37042,3116,5,Associate's Degree,3,For-Profit,2015,14,56,25
30799,CITY COLLEGE                                                     ,177 MONTGOMERY ROAD                               ,ALTAMONTE SPRINGS   ,FL,FLORIDA                                                     ,32714,3129,5,Associate's Degree,2,Nonprofit,2015,31,304,10.1
30816,DELAWARE CHENANGO MADISON OTSEGO BOCES                           ,6678 COUNTY ROAD 32                ADULT AND CONTI,NORWICH             ,NY,NEW YORK                                                    ,13815,9554,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,3,30,10
30819,YTI CAREER INSTITUTE - ALTOONA                                   ,2900 FAIRWAY DRIVE                                ,ALTOONA             ,PA,PENNSYLVANIA                                                ,16602,4457,5,Associate's Degree,3,For-Profit,2015,30,235,12.7
30821,MYOTHERAPY COLLEGE OF UTAH                                       ,336 WEST BUGATTI STREET                           ,SALT LAKE CITY      ,UT,UTAH                                                        ,84115,2522,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,0,45,0
30830,OZARKS TECHNICAL COMMUNITY COLLEGE                               ,1001 EAST CHESTNUT EXPRESSWAY                     ,SPRINGFIELD         ,MO,MISSOURI                                                    ,65802,3601,5,Associate's Degree,1,Public,2015,692,4020,17.2
30837,GALEN HEALTH INSTITUTES                                          ,1031 ZORN AVENUE                   SUITE 400      ,LOUISVILLE          ,KY,KENTUCKY                                                    ,40207,1047,6,Bachelor's Degree,3,For-Profit,2015,207,2282,9
30838,HEARTLAND COMMUNITY COLLEGE                                      ,1500 WEST RAAB ROAD                               ,NORMAL              ,IL,ILLINOIS                                                    ,61761,9446,5,Associate's Degree,1,Public,2015,78,573,13.6
30842,VALLEY COLLEGE                                                   ,616 HARRISON STREET                               ,PRINCETON           ,WV,WEST VIRGINIA                                               ,24740,3141,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,10,48,20.8
30843,UNIVERSITY OF LIMERICK                                           ,PLASSEY PARK ROAD                                 ,CASTLETROY          ,FC,IRELAND             ,V94 T,9PX ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,0,54,0
30844,VALLEY COLLEGE                                                   ,"120 NEW RIVER TOWN CENTER, SUITE C                ",BECKLEY             ,WV,WEST VIRGINIA                                               ,25801,2643,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,48,214,22.4
30847,VENTURA ADULT AND CONTINUING EDUCATION                           ,5200 VALENTINE ROAD                               ,VENTURA             ,CA,CALIFORNIA                                                  ,93003,7313,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,4,32,12.5
30872,MOLER BARBER COLLEGE OF HAIR STYLING                             ,16 SOUTH 8TH STREET                               ,FARGO               ,ND,NORTH DAKOTA                                                ,58103,1805,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,6,17,35.2
30887,ROYAL CONSERVATOIRE OF SCOTLAND                                  ,100 RENFREW STREET                                ,GLASGOW             ,FC,SCOTLAND            ,G2 3D,B   ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,4,41,9.7
30888,"WATKINS COLLEGE OF ART, DESIGN & FILM                            ",2298 ROSA L PARKS BOULEVARD                       ,NASHVILLE           ,TN,TENNESSEE                                                   ,37228,1306,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,9,95,9.4
30891,GEORGIA INSTITUTE OF COSMETOLOGY                                 ,3529 ATLANTA HIGHWAY                              ,ATHENS              ,GA,GEORGIA                                                     ,30606,3152,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,34,192,17.7
30893,HERITAGE BIBLE COLLEGE                                           ,1747 BUD HAWKINS ROAD                             ,DUNN                ,NC,NORTH CAROLINA                                              ,28334,0,6,Bachelor's Degree,2,Nonprofit,2015,17,75,22.6
30900,SHARP'S ACADEMY OF HAIRSTYLING                                   ,8166 HOLLY ROAD                                   ,GRAND BLANC         ,MI,MICHIGAN                                                    ,48439,1838,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,1,44,2.2
30906,COBB BEAUTY COLLEGE                                              ,3096 CHEROKEE STREET                              ,KENNESAW            ,GA,GEORGIA                                                     ,30144,2828,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,6,88,6.8
30908,LAKE ERIE COLLEGE OF OSTEOPATHIC MEDICINE                        ,1858 WEST GRANDVIEW BOULEVARD                     ,ERIE                ,PA,PENNSYLVANIA                                                ,16509,1025,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,4,783,0.5
30913,REGENT UNIVERSITY                                                ,1000 REGENT UNIVERSITY DRIVE                      ,VIRGINIA BEACH      ,VA,VIRGINIA                                                    ,23464,9800,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,66,1690,3.9
30914,UNIVERSITY OF WOLLONGONG                                         ,NORTHFIELDS AVENUE                                ,WOLLONGONG          ,FC,AUSTRALIA           ,2522,    ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,1,19,5.2
30917,POZNAN UNIVERSITY OF MEDICAL SCIENCES                            ,UL. FREDRY 10                                     ,POZNAN              ,FC,POLAND              ,61- 7,1,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,3,49,6.1
30925,NOTTINGHAM TRENT UNIVERSITY                                      ,50 SHAKESPEARE STREET                             ,NOTTINGHAM          ,FC,ENGLAND             ,NG1 4,FQ  ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,0,20,0
30926,MESSENGER COLLEGE                                                ,2705 BROWN TRAIL                   STE 401        ,BEDFORD             ,TX,TEXAS                                                       ,76021,4299,6,Bachelor's Degree,2,Nonprofit,2015,15,65,23
30948,INDUSTRIAL MANAGEMENT & TRAINING INSTITUTE                       ,233 MILL STREET                                   ,WATERBURY           ,CT,CONNECTICUT                                                 ,6706,1211,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,2,62,3.2
30950,ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY                          ,124 LA TROBE STREET                               ,MELBOURNE           ,FC,AUSTRALIA           ,3000,    ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,4,38,10.5
30954,BOND UNIVERSITY                                                  ,UNIVERSITY DRIVE                   ROBINA         ,GOLD COAST          ,FC,AUSTRALIA           ,4229,    ,8,Master's Degree or Doctor's Degree,6,Foreign Nonprofit,2015,0,87,0
30955,ASA COLLEGE                                                      ,151 LAWRENCE STREET                2ND FLOOR      ,BROOKLYN            ,NY,NEW YORK                                                    ,11201,5208,6,Bachelor's Degree,3,For-Profit,2015,399,2625,15.2
30959,ESSEC BUSINESS SCHOOL                                            ,"3, AVENUE BERNARD-HIRSCH - CS 50105               ",CERGY-PONTOISE CEDEX,FC,FRANCE              ,F-950,21,8,Master's Degree or Doctor's Degree,6,Foreign Nonprofit,2015,1,18,5.5
30961,LA TROBE UNIVERSITY                                              ,BUNDOORA CAMPUS                    LA TROBE UNIVER,MELBOURNE           ,FC,AUSTRALIA           ,3083,    ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,3,29,10.3
30962,CHARLES STUART SCHOOL                                            ,1420 KINGS HIGHWAY                 2ND FLOOR      ,BROOKLYN            ,NY,NEW YORK                                                    ,11229,2004,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,2,34,5.8
30970,MERCY COLLEGE OF OHIO                                            ,2221 MADISON AVENUE                               ,TOLEDO              ,OH,OHIO                                                        ,43604,1132,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,20,469,4.2
30977,CENTRAL CALIFORNIA SCHOOL OF CONTINUING EDUCATION                ,3195 MCMILLAN STREET               SUITE F        ,SAN LUIS OBISPO     ,CA,CALIFORNIA                                                  ,93401,6739,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,24,131,18.3
30978,CARSTEN INSTITUTE OF COSMETOLOGY                                 ,290 MADISON AVENUE                 5TH FLOOR      ,NEW YORK            ,NY,NEW YORK                                                    ,10017,6302,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,21,126,16.6
30980,ST. JOHN'S COLLEGE                                               ,729 EAST CARPENTER STREET                         ,SPRINGFIELD         ,IL,ILLINOIS                                                    ,62702,5321,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,0,53,0
30982,YO SAN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE                ,13315 WASHINGTON BOULEVARD                        ,LOS ANGELES         ,CA,CALIFORNIA                                                  ,90066,1103,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,1,49,2
30986,CAREER TECHNOLOGY CENTER OF LACKAWANNA COUNTY                    ,3201 ROCKWELL AVENUE                              ,SCRANTON            ,PA,PENNSYLVANIA                                                ,18508,1475,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,7,51,13.7
30987,MILAN INSTITUTE                                                  ,75-030 GERALD FORD DRIVE                          ,PALM DESERT         ,CA,CALIFORNIA                                                  ,92211,6030,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,64,366,17.4
30990,CORTIVA INSTITUTE - SEATTLE                                      ,425 PONTIUS AVENUE NORTH           SUITE 100      ,SEATTLE             ,WA,WASHINGTON                                                  ,98109,5474,2,Non-Degree (600-899 hours),3,For-Profit,2015,39,265,14.7
31000,UNIVERSITY OF ADELAIDE (THE)                                     ,NORTH TERRACE                                     ,ADELAIDE            ,FC,AUSTRALIA           ,5005,    ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,1,15,6.6
31001,PARAMOUNT BEAUTY ACADEMY                                         ,1745 11TH STREET                                  ,PORTSMOUTH          ,OH,OHIO                                                        ,45662,4136,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,2,66,3
31004,COCONINO COUNTY COMMUNITY COLLEGE                                ,2800 SOUTH LONE TREE ROAD                         ,FLAGSTAFF           ,AZ,ARIZONA                                                     ,86005,2701,5,Associate's Degree,1,Public,2015,63,469,13.4
31007,CARROLL COMMUNITY COLLEGE                                        ,1601 WASHINGTON ROAD                              ,WESTMINSTER         ,MD,MARYLAND                                                    ,21157,6913,5,Associate's Degree,1,Public,2015,18,157,11.4
31009,LUTHER RICE COLLEGE & SEMINARY                                   ,3038 EVANS MILL ROAD                              ,LITHONIA            ,GA,GEORGIA                                                     ,30038,2454,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,19,324,5.8
31010,NEW DIMENSION SCHOOL OF HAIR DESIGN                              ,621 KENTUCKY  AVENUE                              ,JOPLIN              ,MO,MISSOURI                                                    ,64801,5017,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,1,40,2.5
31013,GRANITE STATE COLLEGE                                            ,25 HALL STREET                                    ,CONCORD             ,NH,NEW HAMPSHIRE                                               ,3301,6400,8,Master's Degree or Doctor's Degree,1,Public,2015,101,893,11.3
31014,FORBES ROAD CAREER AND TECHNOLOGY CENTER                         ,607 BEATTY ROAD                                   ,MONROEVILLE         ,PA,PENNSYLVANIA                                                ,15146,1550,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,5,18,27.7
31018,ILLINOIS MEDIA SCHOOL                                            ,455 EISENHOWER LANE SOUTH          SUITE 200      ,LOMBARD             ,IL,ILLINOIS                                                    ,60148,7015,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,53,280,18.9
31019,TRINITY BAPTIST COLLEGE                                          ,800 HAMMOND BOULEVARD                             ,JACKSONVILLE        ,FL,FLORIDA                                                     ,32221,1398,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,15,117,12.8
31020,"RIVERTOWN SCHOOL OF BEAUTY, BARBER, SKIN CARE AND NAILS          ",4747-E HAMILTON ROAD                              ,COLUMBUS            ,GA,GEORGIA                                                     ,31904,4747,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,5,95,5.2
31021,MORGANTOWN BEAUTY COLLEGE                                        ,276 WALNUT STREET                                 ,MORGANTOWN          ,WV,WEST VIRGINIA                                               ,26505,5430,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,4,55,7.2
31025,AMERICAN UNIVERSITY OF ROME                                      ,VIA PIETRO ROSELLI 4                              ,ROME                ,FC,ITALY               ,153,    ,8,Master's Degree or Doctor's Degree,6,Foreign Nonprofit,2015,7,75,9.3
31028,ROBERT GORDON UNIVERSITY                                         ,SCHOOLHILL                                        ,ABERDEEN            ,FC,SCOTLAND            ,AB10 ,  1F,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,0,24,0
31033,JNA INSTITUTE OF CULINARY ARTS                                   ,1212 SOUTH BROAD STREET                           ,PHILADELPHIA        ,PA,PENNSYLVANIA                                                ,19146,3119,5,Associate's Degree,3,For-Profit,2015,4,68,5.8
31038,SOUTHERN SCHOOL OF BEAUTY                                        ,140 WEST MAIN STREET                              ,DURANT              ,OK,OKLAHOMA                                                    ,74701,5008,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,4,54,7.4
31040,SHAWSHEEN VALLEY SCHOOL OF PRACTICAL NURSING                     ,100 COOK STREET                                   ,BILLERICA           ,MA,MASSACHUSETTS                                               ,1821,5499,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,2,33,6
31042,CAROLINAS COLLEGE OF HEALTH SCIENCES                             ,1200 BLYTHE BOULEVARD                             ,CHARLOTTE           ,NC,NORTH CAROLINA                                              ,28203,2861,5,Associate's Degree,1,Public,2015,5,141,3.5
31043,CAREER TECHNICAL INSTITUTE                                       ,"1101 VERMONT AVE, NW                              ",WASHINGTON          ,DC,DISTRICT OF ,20005,3521,5,Associate's Degree,3,For-Profit,2015,156,544,28.6
31045,ATLANTA INSTITUTE OF MUSIC AND MEDIA                             ,2875 BRECKINRIDGE BLVD.            SUITE 700      ,DULUTH              ,GA,GEORGIA                                                     ,30096,4988,5,Associate's Degree,3,For-Profit,2015,19,122,15.5
31052,BAPTIST HEALTH COLLEGE LITTLE ROCK                               ,11900 COLONEL GLENN ROAD                          ,LITTLE ROCK         ,AR,ARKANSAS                                                    ,72210,2820,5,Associate's Degree,2,Nonprofit,2015,21,504,4.1
31060,MISSOURI STATE UNIVERSITY - WEST PLAINS                          ,128 GARFIELD                                      ,WEST PLAINS         ,MO,MISSOURI                                                    ,65775,2715,5,Associate's Degree,1,Public,2015,95,480,19.7
31062,FRANCISCAN MISSIONARIES OF OUR LADY UNIVERSITY                   ,5414 BRITTANY DRIVE                               ,BATON ROUGE         ,LA,LOUISIANA                                                   ,70808,4345,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,21,632,3.3
31065,SENTARA COLLEGE OF HEALTH SCIENCES                               ,1441 CROSSWAYS BOULEVARD           SUITE 105      ,CHESAPEAKE          ,VA,VIRGINIA                                                    ,23320,2843,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,6,138,4.3
31070,SOUTHWEST COLLEGE OF NATUROPATHIC MEDICINE & HEALTH SCIENCES     ,2140 EAST BROADWAY ROAD                           ,TEMPE               ,AZ,ARIZONA                                                     ,85282,1751,7,First Professional Degree,2,Nonprofit,2015,2,99,2
31081,SUMMIT COLLEGE                                                   ,851 SOUTH  COOLEY DRIVE                           ,COLTON              ,CA,CALIFORNIA                                                  ,92324,3956,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,156,728,21.4
31085,EVERGLADES UNIVERSITY                                            ,5002 T-REX AVENUE                  SUITE 100      ,BOCA RATON          ,FL,FLORIDA                                                     ,33431,0,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,70,589,11.8
31090,SCHOOL OF COMMUNICATION ARTS OF NORTH CAROLINA                   ,3000 WAKEFIELD CROSSING DRIVE                     ,RALEIGH             ,NC,NORTH CAROLINA                                              ,27614,7076,6,Bachelor's Degree,3,For-Profit,2015,21,326,6.4
31091,"WORKFORCE INSTITUTE'S CITY COLLEGE, THE                          ",4322 NORTH 5TH STREET                             ,PHILADELPHIA        ,PA,PENNSYLVANIA                                                ,19140,2302,5,Associate's Degree,2,Nonprofit,2015,7,66,10.6
31095,DONGGUK UNIVERSITY LOS ANGELES                                   ,440 SHATTO PLACE                                  ,LOS ANGELES         ,CA,CALIFORNIA                                                  ,90020,1765,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,4,40,10
31098,PONCA CITY BEAUTY COLLEGE                                        ,3010 NORTH FOURTEENTH STREET                      ,PONCA CITY          ,OK,OKLAHOMA                                                    ,74601,1029,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,10,28,35.7
31107,AVIATION INSTITUTE OF MAINTENANCE                                ,3001 GRANT AVENUE                                 ,PHILADELPHIA        ,PA,PENNSYLVANIA                                                ,19114,1017,11,Non-Degree 3 Plus Years (? 2700 hours),3,For-Profit,2015,29,189,15.3
31108,BAKKE GRADUATE UNIVERSITY                                        ,8515 GREENVILLE AVENUE             SUITE 206      ,DALLAS              ,TX,TEXAS                                                       ,75243,7039,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,1,29,3.4
